,filename,Invoice_no,Invoice_date,Vendor_name,Product_model,Qty,Unit_price,Item_total,Invoice_total,Currency,Confidence,low_conf_fields
0,MDOVZBRQ2200040.pdf,MDOVZBRQ2200040,24/01/22,"JIANGSU MIDEA CLEANING APPLIANCES CO.,LTD","EC-CA1820-Z
EC-CA1820-Z
EC-CA2121-Z",300,33.9,2542.5,97804.19,USD,0.95425,
1,MDOVZBRQ2200040.pdf,MDOVZBRQ2200040,24/01/22,"JIANGSU MIDEA CLEANING APPLIANCES CO.,LTD",EC-CA2422-Z,731,39.99,29232.69,97804.19,USD,0.956125,
2,MDOVZBRQ2200040.pdf,MDOVZBRQ2200040,24/01/22,"JIANGSU MIDEA CLEANING APPLIANCES CO.,LTD","EC-BL2203A-RZ
EC-BG2005A-BZ",400,40.02,6003,97804.19,USD,0.9545,
3,MDOVZBRQ2200040.pdf,MDOVZBRQ2200040,24/01/22,"JIANGSU MIDEA CLEANING APPLIANCES CO.,LTD",EC-BG2205A-BZ,300,41.47,12441,97804.19,USD,0.956,
4,MDOVZBRQ2200040.pdf,MDOVZBRQ2200040,24/01/22,"JIANGSU MIDEA CLEANING APPLIANCES CO.,LTD",EC-BL2003A-RZ,150,42.83,6424.5,97804.19,USD,0.956125,
5,MDOVZBRQ2107353.pdf,MDOVZBRQ2107353,25/11/21,"JIANGSU MIDEA CLEANING APPLIANCES CO.,LTD",EC-BG1601A-RZ,200,26.13,5226,19921.5,USD,0.883875,
6,MDOVZBRQ2107353.pdf,MDOVZBRQ2107353,25/11/21,"JIANGSU MIDEA CLEANING APPLIANCES CO.,LTD",EC-BG2205A-RZ,150,41.47,6220.5,19921.5,USD,0.88375,
7,MDOVZBRQ2107353.pdf,MDOVZBRQ2107353,25/11/21,"JIANGSU MIDEA CLEANING APPLIANCES CO.,LTD",EC-CA1820-Z,250,33.9,8475,19921.5,USD,0.884,
8,MDOVZBRQ2200043.pdf,MDOVZBRQ2200043,24/01/22,"JIANGSU MIDEA CLEANING APPLIANCES CO.,LTD",EC-CA2422-Z,731,39.99,29232.69,58465.38,USD,0.8985,
9,MDOVZBRQ2200043.pdf,MDOVZBRQ2200043,24/01/22,"JIANGSU MIDEA CLEANING APPLIANCES CO.,LTD",EC-CA2422-Z,731,39.99,29232.69,58465.38,USD,0.8985,
10,MDOVZBRQ2200042.pdf,MDOVZBRQ2200042,20/01/22,"JIANGSU MIDEA CLEANING APPLIANCES CO.,LTD",EC-CA2422-Z,731,39.99,29232.69,58465.38,USD,0.941375,
11,MDOVZBRQ2200042.pdf,MDOVZBRQ2200042,20/01/22,"JIANGSU MIDEA CLEANING APPLIANCES CO.,LTD",EC-CA2422-Z,731,39.99,29232.69,58465.38,USD,0.941375,
12,MDOVZBRQ2108883.pdf,MDOVZBRQ2108883,01/01/22,"JIANGSU MIDEA CLEANING APPLIANCES CO.,LTD",EC-CA2422-Z,731,39.99,29232.69,87698.07,USD,0.891625,
13,MDOVZBRQ2108883.pdf,MDOVZBRQ2108883,01/01/22,"JIANGSU MIDEA CLEANING APPLIANCES CO.,LTD","EC-CA2422-Z
EC-CA2422-Z",731,39.99,29232.69,87698.07,USD,0.889875,
14,MDOVZBRQ2200734.pdf,MDOVZBRQ2200734,21/02/22,"JIANGSU MIDEA CLEANING APPLIANCES CO.,LTD",EC-CA2422-Z,731,39.99,29232.69,116930.76,USD,0.86425,Product Model
15,MDOVZBRQ2200734.pdf,MDOVZBRQ2200734,21/02/22,"JIANGSU MIDEA CLEANING APPLIANCES CO.,LTD",EC-CA2422-Z,731,39.99,29232.69,116930.76,USD,0.875,Product Model
16,MDOVZBRQ2200734.pdf,MDOVZBRQ2200734,21/02/22,"JIANGSU MIDEA CLEANING APPLIANCES CO.,LTD",EC-CA2422-Z,731,39.99,29232.69,116930.76,USD,0.877,Product Model
17,MDOVZBRQ2200734.pdf,MDOVZBRQ2200734,21/02/22,"JIANGSU MIDEA CLEANING APPLIANCES CO.,LTD",EC-CA2422-Z,731,39.99,29232.69,116930.76,USD,0.9415,
18,MDOVZBRQ2108324 (1).pdf,MDOVZBRQ2108324,06/01/22,"JIANGSU MIDEA CLEANING APPLIANCES CO.,LTD",EC-CA1820-X,753,33.9,25526.7,81872.55,USD,0.888375,
19,MDOVZBRQ2108324 (1).pdf,MDOVZBRQ2108324,06/01/22,"JIANGSU MIDEA CLEANING APPLIANCES CO.,LTD",EC-CA2121-X,733,38.03,27875.99,81872.55,USD,0.888375,
20,MDOVZBRQ2108324 (1).pdf,MDOVZBRQ2108324,06/01/22,"JIANGSU MIDEA CLEANING APPLIANCES CO.,LTD","EC-CA1820-X
EC-CA2121-X",47,33.9,3288.3,81872.55,USD,0.8845,
21,MDOVZBRQ2108324 (1).pdf,MDOVZBRQ2108324,06/01/22,"JIANGSU MIDEA CLEANING APPLIANCES CO.,LTD",EC-CA2422-X,585,39.99,23394.15,81872.55,USD,0.888375,
22,MDOVZBRQ2200087.pdf,MDOVZBRQ2200087,11/01/22,"JIANGSU MIDEA CLEANING APPLIANCES CO.,LTD",EC-CA2422-Z,731,39.99,29232.69,29232.69,USD,0.8075,Product Model
23,MDOVZBRQ2108486-IN-PL.pdf,MDOVZBRQ2108486,22/12/21,"JIANGSU MIDEA CLEANING APPLIANCES CO.,LTD",EC-CA1820-Z,300,33.9,10170,111868.07,USD,0.9115,
24,MDOVZBRQ2108486-IN-PL.pdf,MDOVZBRQ2108486,22/12/21,"JIANGSU MIDEA CLEANING APPLIANCES CO.,LTD",EC-CA1820-Z,453,33.9,15356.7,111868.07,USD,0.9115,
25,MDOVZBRQ2108486-IN-PL.pdf,MDOVZBRQ2108486,22/12/21,"JIANGSU MIDEA CLEANING APPLIANCES CO.,LTD",EC-CA2121-Z,350,38.03,13310.5,111868.07,USD,0.9115,
26,MDOVZBRQ2108486-IN-PL.pdf,MDOVZBRQ2108486,22/12/21,"JIANGSU MIDEA CLEANING APPLIANCES CO.,LTD",EC-CA2121-Z,383,38.03,14565.49,111868.07,USD,0.9115,
27,MDOVZBRQ2108486-IN-PL.pdf,MDOVZBRQ2108486,22/12/21,"JIANGSU MIDEA CLEANING APPLIANCES CO.,LTD",EC-CA2422-Z,731,39.99,29232.69,111868.07,USD,0.9115,
28,MDOVZBRQ2108486-IN-PL.pdf,MDOVZBRQ2108486,22/12/21,"JIANGSU MIDEA CLEANING APPLIANCES CO.,LTD",EC-CA2422-Z,731,39.99,29232.69,111868.07,USD,0.9115,
29,MDOVZBRQ2106762.pdf,MDOVZBRQ2106762,02/12/21,"JIANGSU MIDEA CLEANING APPLIANCES CO.,LTD",EC-BG1601A-RZ,250,26.13,6532.5,48342.5,USD,0.873,
30,MDOVZBRQ2106762.pdf,MDOVZBRQ2106762,02/12/21,"JIANGSU MIDEA CLEANING APPLIANCES CO.,LTD",EC-BG2205A-BZ,200,41.47,8294,48342.5,USD,0.873,
31,MDOVZBRQ2106762.pdf,MDOVZBRQ2106762,02/12/21,"JIANGSU MIDEA CLEANING APPLIANCES CO.,LTD","EC-CS150DC-BZ
EC-CS150DC-RZ",300,55.86,16758,48342.5,USD,0.872375,
32,MDOVZBRQ2108997.pdf,MDOVZBRQ2108997,11/01/22,"JIANGSU MIDEA CLEANING APPLIANCES CO.,LTD","SHARP BRAND
PRODUCTS VACUUM
CLEANER
EC-CA2422-Z",731,39.99,29232.69,29232.69,USD,0.77475,Product Model
33,MDOVZBRQ2108997.pdf,MDOVZBRQ2108997,11/01/22,"JIANGSU MIDEA CLEANING APPLIANCES CO.,LTD",WHSU6205175,,,,29232.69,USD,0.43925,Unit Price
34,MDOVZBRQ2200394.pdf,MDOVZBRQ2200394,24/01/22,"JIANGSU MIDEA CLEANING APPLIANCES CO.,LTD",EC-CA2422-Z,731,39.99,29232.69,29232.69,USD,0.795625,Product Model
